,BTCUSDT,XMRUSDT,AAVEUSDT,DOTUSDT,CRVUSDT,LTCUSDT,SOLUSDT,UNIUSDT,TRXUSDT,BNBUSDT,ADAUSDT,EOSUSDT,DOGEUSDT,MATICUSDT,ETHUSDT
2023-02-27 00:00:00,23492.09000000,149.80000000,80.20000000,6.57900000,1.01600000,94.07000000,22.68000000,6.43900000,0.06943000,304.60000000,0.36470000,1.12600000,0.08136000,1.23450000,1633.45000000
2023-02-28 00:00:00,23141.57000000,150.30000000,77.70000000,6.34700000,0.99400000,93.80000000,21.89000000,6.50100000,0.06905000,301.40000000,0.35170000,1.14600000,0.08085000,1.19640000,1605.23000000
2023-03-01 00:00:00,23628.97000000,152.70000000,82.90000000,6.53500000,1.03300000,97.78000000,22.51000000,6.84300000,0.06984000,302.70000000,0.36010000,1.20800000,0.08193000,1.24890000,1665.22000000
2023-03-02 00:00:00,23465.32000000,151.10000000,79.90000000,6.33500000,0.99000000,95.39000000,22.00000000,6.63700000,0.06972000,299.80000000,0.35040000,1.24200000,0.08056000,1.22740000,1647.86000000
2023-03-03 00:00:00,22354.34000000,145.00000000,76.80000000,6.03700000,0.93500000,90.56000000,21.42000000,6.27200000,0.06715000,290.40000000,0.34310000,1.32300000,0.07684000,1.16900000,1569.45000000
2023-03-04 00:00:00,22346.57000000,146.70000000,75.30000000,5.91700000,0.90900000,89.34000000,20.98000000,6.16100000,0.06670000,289.60000000,0.33660000,1.22500000,0.07462000,1.12770000,1566.73000000
2023-03-05 00:00:00,22430.24000000,149.60000000,75.00000000,5.97800000,0.93000000,89.93000000,20.97000000,6.35100000,0.06725000,288.70000000,0.33700000,1.22500000,0.07474000,1.13600000,1564.58000000
2023-03-06 00:00:00,22410.00000000,154.00000000,76.60000000,5.92000000,0.94800000,87.36000000,20.63000000,6.33700000,0.06739000,287.80000000,0.33050000,1.21200000,0.07479000,1.13090000,1565.84000000
2023-03-07 00:00:00,22197.96000000,150.30000000,75.20000000,5.84700000,0.97300000,86.29000000,20.25000000,6.42900000,0.06629000,289.30000000,0.33060000,1.18100000,0.07407000,1.15010000,1561.96000000
2023-03-08 00:00:00,21705.44000000,143.30000000,71.70000000,5.60100000,0.89000000,82.76000000,18.41000000,6.10300000,0.06532000,287.10000000,0.31750000,1.11900000,0.07112000,1.05070000,1532.38000000
2023-03-09 00:00:00,20362.22000000,142.30000000,68.60000000,5.38500000,0.83900000,76.68000000,17.33000000,5.72200000,0.05863000,277.10000000,0.31010000,1.05600000,0.06595000,1.01720000,1437.32000000
2023-03-10 00:00:00,20150.69000000,135.20000000,68.30000000,5.54900000,0.88700000,71.37000000,18.17000000,5.62000000,0.05736000,277.40000000,0.31490000,1.04300000,0.06572000,1.05750000,1426.44000000
2023-03-11 00:00:00,20455.73000000,140.00000000,66.80000000,5.46300000,0.86000000,69.21000000,18.07000000,5.43400000,0.05877000,276.00000000,0.30510000,0.99400000,0.06604000,1.05630000,1471.97000000
2023-03-12 00:00:00,21997.11000000,149.90000000,72.70000000,5.89500000,0.95100000,76.26000000,20.20000000,5.89700000,0.06458000,288.10000000,0.32980000,1.04900000,0.07051000,1.14910000,1580.33000000
2023-03-13 00:00:00,24113.48000000,152.30000000,76.00000000,6.10000000,0.97700000,81.46000000,20.40000000,6.09000000,0.06694000,307.90000000,0.34330000,1.07800000,0.07279000,1.19290000,1673.45000000
2023-03-14 00:00:00,24670.41000000,149.60000000,79.10000000,6.22300000,0.98800000,83.94000000,20.86000000,6.31700000,0.06695000,308.40000000,0.34290000,1.10700000,0.07456000,1.19620000,1699.40000000
2023-03-15 00:00:00,24285.66000000,146.20000000,73.90000000,5.87400000,0.89000000,76.43000000,19.24000000,5.90900000,0.06517000,306.30000000,0.32410000,1.03900000,0.06963000,1.11150000,1649.96000000
2023-03-16 00:00:00,24998.78000000,149.00000000,74.80000000,6.08800000,0.91100000,78.86000000,19.67000000,5.90300000,0.06512000,329.40000000,0.32490000,1.07900000,0.07256000,1.14780000,1673.73000000
2023-03-17 00:00:00,27395.13000000,153.70000000,80.60000000,6.61800000,1.00300000,85.51000000,21.60000000,6.40400000,0.06763000,338.90000000,0.34940000,1.14700000,0.07642000,1.22250000,1789.27000000
2023-03-18 00:00:00,26907.49000000,149.30000000,77.80000000,6.31300000,0.98600000,83.02000000,21.20000000,6.50800000,0.06579000,331.00000000,0.33710000,1.09700000,0.07295000,1.17040000,1758.84000000
2023-03-19 00:00:00,27972.87000000,153.30000000,79.40000000,6.45100000,1.01800000,83.98000000,21.86000000,6.48800000,0.06650000,336.70000000,0.34480000,1.15400000,0.07450000,1.16620000,1780.68000000
2023-03-20 00:00:00,27717.01000000,151.80000000,76.10000000,6.09200000,0.96200000,78.05000000,22.13000000,6.17600000,0.06503000,332.50000000,0.33210000,1.15400000,0.07137000,1.10270000,1732.78000000
2023-03-21 00:00:00,28105.47000000,153.10000000,79.00000000,6.36300000,0.99500000,82.48000000,22.53000000,6.42100000,0.06700000,334.40000000,0.36960000,1.18500000,0.07660000,1.15260000,1801.23000000
2023-03-22 00:00:00,27250.97000000,148.60000000,75.10000000,6.05300000,0.94000000,87.27000000,21.42000000,6.07100000,0.05978000,321.10000000,0.35960000,1.09400000,0.07385000,1.10770000,1734.33000000
2023-03-23 00:00:00,28295.41000000,156.50000000,77.10000000,6.32100000,0.96700000,93.61000000,22.16000000,6.23800000,0.06520000,329.40000000,0.37150000,1.16000000,0.07736000,1.13600000,1813.79000000
2023-03-24 00:00:00,27454.47000000,162.00000000,73.00000000,6.02100000,0.90600000,93.58000000,20.66000000,5.88200000,0.06341000,322.10000000,0.35960000,1.16500000,0.07453000,1.09680000,1749.57000000
2023-03-25 00:00:00,27462.95000000,159.70000000,71.30000000,5.90500000,0.91700000,91.50000000,20.41000000,5.71200000,0.06368000,322.40000000,0.35140000,1.11600000,0.07402000,1.07860000,1741.88000000
2023-03-26 00:00:00,27968.05000000,161.50000000,72.90000000,6.04200000,0.93200000,93.32000000,20.94000000,5.78600000,0.06412000,328.60000000,0.35570000,1.14000000,0.07436000,1.10400000,1773.88000000
2023-03-27 00:00:00,27124.91000000,151.70000000,69.80000000,5.86700000,0.89000000,89.23000000,19.91000000,5.64400000,0.06355000,310.60000000,0.34550000,1.08500000,0.07287000,1.04550000,1715.22000000
2023-03-28 00:00:00,27261.07000000,154.00000000,70.60000000,6.05600000,0.91900000,89.13000000,20.45000000,5.80800000,0.06418000,313.20000000,0.36810000,1.11300000,0.07381000,1.08600000,1772.99000000
2023-03-29 00:00:00,28348.60000000,158.90000000,72.90000000,6.18300000,0.94100000,91.31000000,21.10000000,5.94500000,0.06433000,313.70000000,0.38110000,1.14900000,0.07557000,1.12230000,1793.07000000
2023-03-30 00:00:00,28028.53000000,155.30000000,71.30000000,6.12200000,0.92200000,89.06000000,20.55000000,5.89700000,0.06481000,316.40000000,0.37610000,1.19000000,0.07422000,1.09300000,1793.61000000
2023-03-31 00:00:00,28465.36000000,157.60000000,74.20000000,6.34300000,0.93600000,89.57000000,21.16000000,6.06200000,0.06553000,316.90000000,0.39890000,1.19600000,0.07695000,1.11760000,1821.52000000
2023-04-01 00:00:00,28452.73000000,157.00000000,74.10000000,6.34400000,0.92400000,92.57000000,21.08000000,6.10100000,0.06648000,314.90000000,0.39190000,1.19300000,0.08181000,1.11200000,1820.79000000
2023-04-02 00:00:00,28171.87000000,160.20000000,73.00000000,6.26300000,0.90700000,92.77000000,20.52000000,5.94800000,0.06518000,313.70000000,0.38150000,1.22900000,0.07903000,1.09530000,1794.51000000
2023-04-03 00:00:00,27800.00000000,156.50000000,73.70000000,6.41900000,0.92400000,92.97000000,20.45000000,5.93000000,0.06574000,308.80000000,0.38720000,1.17500000,0.09600000,1.09690000,1810.51000000
2023-04-04 00:00:00,28165.47000000,158.60000000,76.40000000,6.43900000,0.99500000,92.58000000,20.92000000,6.15100000,0.06573000,310.80000000,0.38940000,1.19300000,0.09512000,1.13880000,1870.37000000
2023-04-05 00:00:00,28170.01000000,158.00000000,78.20000000,6.40600000,1.00300000,92.64000000,20.97000000,6.23200000,0.06616000,313.90000000,0.39230000,1.18900000,0.09267000,1.14030000,1908.69000000
2023-04-06 00:00:00,28033.82000000,156.30000000,80.60000000,6.28100000,1.00900000,90.97000000,20.62000000,6.07600000,0.06608000,312.30000000,0.38290000,1.21800000,0.08541000,1.11480000,1872.41000000
2023-04-07 00:00:00,27906.33000000,156.70000000,78.30000000,6.17800000,1.02100000,90.60000000,20.44000000,6.00200000,0.06603000,310.30000000,0.38350000,1.21500000,0.08222000,1.10690000,1863.72000000
2023-04-08 00:00:00,27938.38000000,158.30000000,76.30000000,6.13000000,1.02400000,89.91000000,20.04000000,5.91400000,0.06613000,310.50000000,0.38530000,1.19000000,0.08134000,1.10200000,1848.82000000
